observation_date,MANMM101JPM189S
1985-12-01,104793854114060.0000
1986-01-01,104758270080845.0000
1986-02-01,104268334128779.0000
1986-03-01,105560846100180.9844
1986-04-01,106121700406164.0000
1986-05-01,106607016676724.0000
1986-06-01,108346389191561.0000
1986-07-01,108869911476731.0000
1986-08-01,110085636850140.9844
1986-09-01,110798316364511.0156
1986-10-01,111761332673960.0000
1986-11-01,113274715363813.0000
1986-12-01,113932083556378.0000
1987-01-01,114950411187633.0156
1987-02-01,115470687210124.0156
1987-03-01,115856992468964.0000
1987-04-01,117571518588679.0000
1987-05-01,119541126041234.0000
1987-06-01,120080879639801.9844
1987-07-01,120976473570526.0000
1987-08-01,123271830997327.0000
1987-09-01,123476095833612.0000
1987-10-01,123703084508651.0000
1987-11-01,124492051195985.0156
1987-12-01,122075957768765.0000
1988-01-01,124643252123088.0000
1988-02-01,126339549229295.0000
1988-03-01,126431193721858.0000
1988-04-01,128179930455962.0156
1988-05-01,131083837278881.0000
1988-06-01,130220830831207.0156
1988-07-01,130025680501676.0000
1988-08-01,131007550105917.0156
1988-09-01,131152133651403.9844
1988-10-01,132761031377783.0000
1988-11-01,135851223735993.0000
1988-12-01,134810047409726.0000
1989-01-01,135262651340978.9844
1989-02-01,138365579037392.0000
1989-03-01,138480072224967.0000
1989-04-01,138085526453171.0000
1989-05-01,137753658522338.0000
1989-06-01,134857367931090.0000
1989-07-01,133512790900562.0000
1989-08-01,134798810346605.0000
1989-09-01,135342933914164.0156
1989-10-01,134738879343294.0000
1989-11-01,133220377546909.0156
1989-12-01,132122391623753.0000
1990-01-01,135502000785451.0156
1990-02-01,139284770800670.0000
1990-03-01,139501770975157.9844
1990-04-01,141226410451681.0000
1990-05-01,137046597539528.0000
1990-06-01,137818334063410.9844
1990-07-01,139820528999017.0000
1990-08-01,138307271165421.0000
1990-09-01,139958994587916.0000
1990-10-01,140150149517226.0156
1990-11-01,139197496277099.0156
1990-12-01,140109321521220.0000
1991-01-01,141840453523102.0000
1991-02-01,140778426201933.0000
1991-03-01,141338156801604.0000
1991-04-01,141859431674150.0000
1991-05-01,141607222035218.0000
1991-06-01,147169568279995.0000
1991-07-01,148049305466094.0000
