date,SAV,STDSL,MA
1987-10-01,1052.6880798902516,889.7,1942.3880798902517
1987-11-01,1039.4781144644721,908.1,1947.578114464472
1987-12-01,1032.831764427702,921.0,1953.831764427702
1988-01-01,1033.1627030187447,933.0,1966.1627030187447
1988-02-01,1030.719273088214,949.5,1980.219273088214
1988-03-01,1039.5608491122327,960.9,2000.4608491122326
1988-04-01,1045.7935259101996,968.5,2014.2935259101996
1988-05-01,1042.390374065646,974.7,2017.090374065646
1988-06-01,1051.6401076852837,979.4,2031.0401076852836
1988-07-01,1054.066990686262,985.4,2039.4669906862619
1988-08-01,1046.3175120126837,993.5,2039.8175120126837
1988-09-01,1035.589586019723,1006.0,2041.589586019723
1988-10-01,1029.8808953242399,1019.1,2048.98089532424
1988-11-01,1030.046364619761,1028.2,2058.246364619761
1988-12-01,1022.1865730825019,1037.1,2059.286573082502
1989-01-01,1010.7526447619837,1050.0,2060.752644761984
1989-02-01,994.2498403553313,1061.7,2055.9498403553316
1989-03-01,988.6514625235292,1073.6,2062.251462523529
1989-04-01,979.3300255424989,1091.1,2070.4300255424987
1989-05-01,952.2206392929347,1110.3,2062.520639292935
1989-06-01,950.9520413606051,1124.2,2075.152041360605
1989-07-01,954.0959579755088,1133.1,2087.1959579755085
1989-08-01,958.6187853864229,1140.1,2098.718785386423
1989-09-01,962.1763752401296,1142.7,2104.8763752401296
1989-10-01,968.7675688450594,1145.7,2114.4675688450593
1989-11-01,980.7640927703499,1147.6,2128.36409277035
1989-12-01,985.4799676927054,1151.3,2136.779967692705
1990-01-01,989.3298866351662,1150.6,2139.929886635166
1990-02-01,993.1191335026028,1151.6,2144.7191335026027
1990-03-01,1002.9921348020373,1154.5,2157.492134802037
1990-04-01,1008.9655763703543,1157.1,2166.0655763703544
1990-05-01,1004.5916713254093,1158.5,2163.091671325409
1990-06-01,1011.5138035213815,1161.5,2173.0138035213813
1990-07-01,1013.8855300905193,1164.7,2178.5855300905196
1990-08-01,1017.0294467054231,1166.0,2183.029446705423
1990-09-01,1017.4982763760665,1166.8,2184.2982763760665
1990-10-01,1016.224162800553,1168.9,2185.124162800553
1990-11-01,1019.6769554337629,1170.5,2190.176955433763
1990-12-01,1017.0846031372635,1173.3,2190.384603137263
1991-01-01,1018.491092149194,1174.3,2192.791092149194
1991-02-01,1024.8892382426823,1174.0,2198.889238242682
1991-03-01,1042.6220310793758,1169.0,2211.622031079376
1991-04-01,1058.3857392993666,1161.2,2219.5857392993667
1991-05-01,1069.0143837150147,1150.8,2219.8143837150146
1991-06-01,1085.9749865059425,1139.4,2225.3749865059426
1991-07-01,1096.2009889691556,1128.6,2224.8009889691557
1991-08-01,1104.1214525814391,1119.7,2223.821452581439
1991-09-01,1108.8869682924512,1109.6,2218.486968292451
1991-10-01,1123.0125304867815,1095.9,2218.9125304867816
1991-11-01,1138.318440322497,1081.2,2219.518440322497
1991-12-01,1149.3938518360524,1065.3,2214.693851836052
1992-01-01,1167.523770981997,1043.3,2210.823770981997
1992-02-01,1189.7242347977642,1020.1,2209.8242347977643
1992-03-01,1215.316819171717,1000.9,2216.216819171717
1992-04-01,1235.090399986506,982.4,2217.490399986506
1992-05-01,1239.999322420303,963.9,2203.899322420303
1992-06-01,1251.0581870043063,950.4,2201.458187004306
1992-07-01,1261.6758001335863,936.9,2198.575800133586
1992-08-01,1270.782127030439,922.4,2193.182127030439
1992-09-01,1283.0489174717472,909.5,2192.5489174717472
1992-10-01,1294.3835642149527,894.4,2188.7835642149525
1992-11-01,1306.082243408305,879.5,2185.5822434083047
1992-12-01,1308.1450939591364,867.7,2175.8450939591366
1993-01-01,1305.552741662637,857.1,2162.652741662637
1993-02-01,1303.1258586616589,850.2,2153.325858661659
1993-03-01,1309.435754464202,842.6,2152.035754464202
1993-04-01,1317.3010616446456,835.1,2152.401061644646
1993-05-01,1322.0996712147617,827.6,2149.6996712147616
1993-06-01,1333.9307258445306,819.1,2153.0307258445305
1993-07-01,1334.5650248106956,810.7,2145.2650248106956
1993-08-01,1335.425465147406,803.3,2138.725465147406
1993-09-01,1336.8264385161524,797.4,2134.2264385161525
1993-10-01,1337.1022206753546,791.7,2128.802220675355
1993-11-01,1343.0811778868556,786.4,2129.4811778868557
1993-12-01,1344.3828696782896,781.4,2125.7828696782894
1994-01-01,1342.5737387139238,775.2,2117.773738713924
